school_name,conference,region,state,division,gender,program_url,ncaa_id
Charlotte,American,,,D1,W,https://charlotte49ers.com/sports/womens-soccer/coaches,
Chattanooga,Southern,,,D1,W,https://gomocs.com/sports/womens-soccer/roster,
Chicago State,NEC,,,D1,W,https://gocsucougars.com/sports/womens-soccer/roster,
Cincinnati,Big 12,,,D1,W,,
Clemson,ACC,,,D1,W,,
Cleveland State,Horizon,,,D1,W,https://csuvikings.com/sports/womens-soccer/roster,
Coastal Carolina,Sun Belt,,,D1,W,https://goccusports.com/sports/womens-soccer/roster,
Colgate,Patriot,,,D1,W,https://colgateathletics.com/sports/womens-soccer/roster,
Colorado,Big 12,,,D1,W,https://cubuffs.com/sports/womens-soccer/coaches,
Colorado College,Mountain West[j],,,D1,W,,
Colorado State,Pac-12,,,D1,W,https://csurams.com/sports/womens-soccer/coaches,
Columbia,Ivy League,,,D1,W,https://gocolumbialions.com/sports/womens-soccer/coaches,
Cornell,Ivy League,,,D1,W,https://cornellbigred.com/sports/womens-soccer/roster,
Creighton,Big East,,,D1,W,https://gocreighton.com/sports/womens-soccer/coaches,
Dartmouth,Ivy League,,,D1,W,https://dartmouthsports.com/sports/womens-soccer/coaches,
Davidson,Atlantic 10,,,D1,W,https://davidsonwildcats.com/sports/womens-soccer/coaches,
Dayton,Atlantic 10,,,D1,W,https://daytonflyers.com/sports/womens-soccer/roster,
Delaware,CUSA,,,D1,W,https://bluehens.com/sports/womens-soccer/coaches,
Delaware State,NEC[l],,,D1,W,https://bluehens.com/sports/womens-soccer/coaches,
Denver,West Coast,,,D1,W,https://denverpioneers.com/sports/womens-soccer/roster,
DePaul,Big East,,,D1,W,https://depaulbluedemons.com/sports/womens-soccer/coaches,
Detroit Mercy,Horizon,,,D1,W,https://detroittitans.com/sports/womens-soccer/roster,
Drake,Missouri Valley,,,D1,W,https://godrakebulldogs.com/sports/womens-soccer/roster,
Drexel,CAA,,,D1,W,https://drexeldragons.com/sports/womens-soccer/coaches,
Duke,ACC,,,D1,W,https://goduke.com/sports/womens-soccer/coaches,
Duquesne,Atlantic 10,,,D1,W,https://goduquesne.com/sports/womens-soccer/roster,
East Carolina,American,,,D1,W,https://ecupirates.com/sports/womens-soccer/coaches,
East Tennessee State,Southern,,,D1,W,https://etsubucs.com/sports/womens-soccer/roster,
East Texas A&M,Southland,,,D1,W,,
Eastern Illinois,Ohio Valley,,,D1,W,https://eiupanthers.com/sports/womens-soccer/roster,
Eastern Kentucky,UAC,,,D1,W,https://ukathletics.com/sports/wsoc/roster,
Eastern Michigan,MAC,,,D1,W,https://emueagles.com/sports/womens-soccer/coaches,
Eastern Washington,Big Sky,,,D1,W,https://gohuskies.com/sports/womens-soccer/coaches,
Elon,CAA,,,D1,W,https://elonphoenix.com/sports/womens-soccer/roster,
Evansville,Missouri Valley,,,D1,W,https://gopurpleaces.com/sports/womens-soccer/roster,
Fairfield,Metro Atlantic,,,D1,W,https://fairfieldstags.com/sports/womens-soccer/roster,
Fairleigh Dickinson,NEC,,,D1,W,https://fduknights.com/sports/womens-soccer/roster,
FIU,CUSA,,,D1,W,https://fiusports.com/sports/womens-soccer/roster,
